p1name0_hist,{key0:value0}|hist|-2|1|{0,1,1,1}
p1name1_sum,{key1:value1}|sum|44
p1name2_sum,{key2:value2}|sum|9
p1name3_hist,{key3:value3}|hist|0|1|{0,0,1,1}
p1name4_sum,{key4:value4}|sum|-43
p1name5_sum,{key5:value5}|sum|28
p1name6_sum,{key6:value6}|sum|12
p1name7_sum,{key7:value7}|sum|4
p1name8_hist,{key8:value8}|hist|14|1|{0,0,1,1}
p1name9_hist,{key9:value9}|hist|-21|1|{0,1,1,1}
p1name10_sum,{key10:value10}|sum|34
p1name11_sum,{key11:value11}|sum|14
p1name12_sum,{key12:value12}|sum|-7
p1name13_sum,{key13:value13}|sum|-43
p1name14_sum,{key14:value14}|sum|-11
p1name15_sum,{key15:value15}|sum|32
p1name16_hist,{key16:value16}|hist|48|1|{0,0,0,1}
p1name17_hist,{key17:value17}|hist|32|1|{0,0,0,1}
p1name18_hist,{key18:value18}|hist|-14|1|{0,1,1,1}
p1name19_sum,{key19:value19}|sum|-15
p1name20_hist,{key20:value20}|hist|-22|1|{0,1,1,1}
p1name21_hist,{key21:value21}|hist|-38|1|{1,1,1,1}
p1name22_hist,{key22:value22}|hist|-10|1|{0,1,1,1}
p1name23_hist,{key23:value23}|hist|-36|1|{1,1,1,1}
p1name24_sum,{key24:value24}|sum|-37
p1name25_hist,{key25:value25}|hist|-9|1|{0,1,1,1}
p1name26_sum,{key26:value26}|sum|28
p1name27_sum,{key27:value27}|sum|28
p1name28_hist,{key28:value28}|hist|-6|1|{0,1,1,1}
p1name29_hist,{key29:value29}|hist|-20|1|{0,1,1,1}
p1name30_sum,{key30:value30}|sum|8
p1name31_sum,{key31:value31}|sum|28
p1name32_sum,{key32:value32}|sum|-26
p1name33_sum,{key33:value33}|sum|36
p1name34_sum,{key34:value34}|sum|1
p1name35_hist,{key35:value35}|hist|-16|1|{0,1,1,1}
p1name36_sum,{key36:value36}|sum|-17
p1name37_sum,{key37:value37}|sum|-2
p1name38_hist,{key38:value38}|hist|-1|1|{0,1,1,1}
p1name39_sum,{key39:value39}|sum|-3
p1name40_sum,{key40:value40}|sum|47
p1name41_hist,{key41:value41}|hist|40|1|{0,0,0,1}
p1name42_hist,{key42:value42}|hist|35|1|{0,0,0,1}
p1name43_hist,{key43:value43}|hist|37|1|{0,0,0,1}
p1name44_hist,{key44:value44}|hist|10|1|{0,0,1,1}
p1name45_sum,{key45:value45}|sum|42
p1name46_sum,{key46:value46}|sum|-21
p1name47_hist,{key47:value47}|hist|-10|1|{0,1,1,1}
p1name48_sum,{key48:value48}|sum|-44
p1name49_sum,{key49:value49}|sum|30
p1name50_hist,{key50:value50}|hist|-2|1|{0,1,1,1}
p1name51_sum,{key51:value51}|sum|49
p1name52_sum,{key52:value52}|sum|26
p1name53_sum,{key53:value53}|sum|9
p1name54_sum,{key54:value54}|sum|41
p1name55_sum,{key55:value55}|sum|45
p1name56_hist,{key56:value56}|hist|-23|1|{0,1,1,1}
p1name57_sum,{key57:value57}|sum|17
p1name58_hist,{key58:value58}|hist|-42|1|{1,1,1,1}
p1name59_sum,{key59:value59}|sum|50
p1name60_sum,{key60:value60}|sum|-22
p1name61_sum,{key61:value61}|sum|47
p1name62_hist,{key62:value62}|hist|28|1|{0,0,0,1}
p1name63_sum,{key63:value63}|sum|-14
p1name64_hist,{key64:value64}|hist|7|1|{0,0,1,1}
p1name65_sum,{key65:value65}|sum|23
p1name66_sum,{key66:value66}|sum|-35
p1name67_sum,{key67:value67}|sum|2
p1name68_hist,{key68:value68}|hist|15|1|{0,0,1,1}
p1name69_sum,{key69:value69}|sum|16
p1name70_sum,{key70:value70}|sum|21
p1name71_sum,{key71:value71}|sum|41
p1name72_hist,{key72:value72}|hist|-18|1|{0,1,1,1}
p1name73_sum,{key73:value73}|sum|10
p1name74_hist,{key74:value74}|hist|45|1|{0,0,0,1}
p1name75_sum,{key75:value75}|sum|49
p1name76_hist,{key76:value76}|hist|-36|1|{1,1,1,1}
p1name77_sum,{key77:value77}|sum|16
p1name78_sum,{key78:value78}|sum|37
p1name79_hist,{key79:value79}|hist|19|1|{0,0,1,1}
p1name80_hist,{key80:value80}|hist|32|1|{0,0,0,1}
p1name81_hist,{key81:value81}|hist|4|1|{0,0,1,1}
p1name82_sum,{key82:value82}|sum|39
p1name83_sum,{key83:value83}|sum|45
p1name84_sum,{key84:value84}|sum|36
p1name85_sum,{key85:value85}|sum|14
p1name86_sum,{key86:value86}|sum|31
p1name87_sum,{key87:value87}|sum|7
p1name88_sum,{key88:value88}|sum|16
p1name89_sum,{key89:value89}|sum|13
p1name90_sum,{key90:value90}|sum|20
p1name91_sum,{key91:value91}|sum|24
p1name92_sum,{key92:value92}|sum|16
p1name93_sum,{key93:value93}|sum|-17
p1name94_hist,{key94:value94}|hist|29|1|{0,0,0,1}
p1name95_sum,{key95:value95}|sum|-14
p1name96_sum,{key96:value96}|sum|-39
p1name97_sum,{key97:value97}|sum|22
p1name98_sum,{key98:value98}|sum|25
p1name99_sum,{key99:value99}|sum|35
p1name100_sum,{key100:value100}|sum|15
p1name101_sum,{key101:value101}|sum|39
p1name102_hist,{key102:value102}|hist|-38|1|{1,1,1,1}
p1name103_sum,{key103:value103}|sum|-43
p1name104_hist,{key104:value104}|hist|-28|1|{1,1,1,1}
p1name105_sum,{key105:value105}|sum|22
p1name106_sum,{key106:value106}|sum|30
p1name107_hist,{key107:value107}|hist|5|1|{0,0,1,1}
p1name108_hist,{key108:value108}|hist|-27|1|{1,1,1,1}
p1name109_sum,{key109:value109}|sum|-17
p1name110_sum,{key110:value110}|sum|19
p1name111_sum,{key111:value111}|sum|-23
p1name112_hist,{key112:value112}|hist|40|1|{0,0,0,1}
p1name113_sum,{key113:value113}|sum|32
p1name114_sum,{key114:value114}|sum|8
p1name115_sum,{key115:value115}|sum|19
p1name116_sum,{key116:value116}|sum|42
p1name117_sum,{key117:value117}|sum|-38
p1name118_sum,{key118:value118}|sum|39
p1name119_sum,{key119:value119}|sum|47
p1name120_sum,{key120:value120}|sum|-5
p1name121_sum,{key121:value121}|sum|38
p1name122_hist,{key122:value122}|hist|-20|1|{0,1,1,1}
p1name123_sum,{key123:value123}|sum|12
p1name124_sum,{key124:value124}|sum|49
p1name125_sum,{key125:value125}|sum|42
p1name126_hist,{key126:value126}|hist|2|1|{0,0,1,1}
p1name127_sum,{key127:value127}|sum|7
p1name128_sum,{key128:value128}|sum|2
p1name129_sum,{key129:value129}|sum|18
p1name130_hist,{key130:value130}|hist|47|1|{0,0,0,1}
p1name131_sum,{key131:value131}|sum|4
p1name132_sum,{key132:value132}|sum|3
p1name133_sum,{key133:value133}|sum|21
p1name134_sum,{key134:value134}|sum|41
p1name135_sum,{key135:value135}|sum|6
p1name136_hist,{key136:value136}|hist|20|1|{0,0,1,1}
p1name137_sum,{key137:value137}|sum|-38
p1name138_sum,{key138:value138}|sum|17
p1name139_sum,{key139:value139}|sum|16
